biomarkers,E-GSM1031158,E-GSM1031159,E-GSM1031160,E-GSM1031161,E-GSM1031162,E-GSM1031167,IPS-GSM1031146,IPS-GSM1031147,IPS-GSM1031148,IPS-GSM1031176,IPS-GSM1031177
cg00000292,0.8569926,0.728104,0.8062375,0.7674335,0.814742,0.8432926,0.8458213,0.7829117,0.8265422,0.7678154,0.7481657
cg00002426,0.04991212,0.07953646,0.01132741,0.09945071,0.006441018,0.07942524,0.04624676,0.04023669,0.05225949,0.03422219,0.01313283
cg00003994,0.02384524,0.05668608,0.005159603,0.02022472,0.04556363,0,0.008026234,0.01063033,0.00837382,0.02006848,0.01454091
cg00005847,0.5047207,0.1517823,0.1012099,0.1737928,0.091169,0.0701047,0.06546064,0.05218105,0.07853489,0.0623194,0.03736429
cg00006414,0,0.01548266,0,0,0.005150193,0,0,0,0,0,0
cg00007981,0.03016666,0.05540806,0.06302709,0.05522463,0.04229169,0.03910072,0.01710229,0.01456368,0.01819747,0.01929644,0.01218943
cg00008493,0.9756359,0.9409163,0.9514359,0.9584036,0.9697528,0.9507561,0.9650916,0.9747294,0.9691468,0.96797,0.9780306
cg00008713,0.006376885,0.008274796,0.01321925,0.002830052,0.002417179,0.007562375,0.0194646,0.02282972,0.03417255,0.01816569,0.03093905
cg00009407,0.005679563,0.0031173,0,0,0,0,0,0,0,0,0
cg00010193,0.6686849,0.6302983,0.6626016,0.6657606,0.6595435,0.6575437,0.547171,0.5655636,0.5885781,0.5290031,0.5472676
cg00011459,0.6452973,0.8352737,0.7846412,0.7812989,0.8825831,0.806461,0.9063962,0.9405298,0.9395712,0.8999971,0.8573117
cg00012199,0,0.01174803,0.004176302,0,0,0,0,0,0,0,0
cg00012386,0.026659,0.04486769,0.0320933,0.03342595,0.02364942,0.01697583,0.03190263,0.03168796,0.03491002,0.03346878,0.01893431
cg00012792,0.02071467,0.03524939,0.03694395,0.02723012,0.02198811,0.03046283,0.02481769,0.0256314,0.0241342,0.03910005,0.01705166
cg00013618,0.9068651,0.7910572,0.8393755,0.8093428,0.806877,0.8363628,0.8513741,0.8648623,0.8197367,0.7459837,0.7944654
cg00014085,0.02724561,0.03057801,0.05063033,0.05514487,0.02376123,0.04217627,0.07489007,0.06044549,0.07552119,0.01598951,0.00683887
cg00014837,0.7047396,0.6134778,0.8011871,0.8043243,0.8731485,0.7641235,0.8059827,0.8464783,0.8235415,0.7681944,0.8163128
cg00015770,0.05856347,0.06592839,0.06333634,0.5345753,0.1097386,0.04503352,0.07645037,0.08252131,0.1005534,0.04570861,0.04209402
cg00016968,0.311509,0.2597968,0.3127113,0.2727969,0.2212101,0.3292455,0.332857,0.3350722,0.3930255,0.2261376,0.2434547
cg00019495,0.4429283,0.470316,0.594073,0.5776632,0.09922624,0.6142304,0.4932312,0.4395486,0.4373908,0.512216,0.3577281
cg00020533,0.8041994,0.8345355,0.8454654,0.7920819,0.8328287,0.8546806,0.8530763,0.8966383,0.8223877,0.8116475,0.8096445
cg00021527,0.01811923,0.01990296,0.02650134,0.02937665,0.01006481,0.01242654,0.01008477,0.0107489,0.01246199,0.02690342,0.01870759
cg00022606,0,0.02566458,0.02627526,0.03658876,0.01532692,0.02133594,0.04334985,0.04302824,0.05470559,0.02458123,0.02334874
cg00022866,0.2910553,0.1952442,0.08849408,0.2167094,0.4177033,0.09460726,0.491136,0.5265736,0.4650986,0.1547607,0.2430736
cg00024396,0.0340348,0,0.02121701,0.05903506,0.1113705,0.006788729,0.08359412,0.05215484,0.05088078,0.01100127,0.006150948
cg00024812,0.03330982,0.03831096,0.01025499,0.0461693,0.05648987,0,0.003309867,0.01687596,0.01660143,0.01147749,0.009570287
cg00025138,0,0,0,0.02549555,0.02338597,0,0,0.005678272,0,0,0
cg00025991,0.628735,0.6759927,0.5843597,0.5895929,0.6155208,0.6372131,0.683371,0.6725212,0.6618281,0.6554886,0.6415579
cg00027083,0.008568018,0.009836694,0.003257349,0.01364068,0,0,0.000751102,0.005673366,0.006003235,0.06008453,0.01973107
cg00027674,0,0,0.06580628,0.02837016,0.07668141,0,0.008484934,0.02526231,0.005652973,0.01522451,0
cg00029826,0.215103,0.1074544,0.1101027,0,0.07163323,0.02025945,0,0.01980961,0,0.02671168,0
cg00029931,0.3127509,0,0.3931002,0.01652556,0.01284881,0.3715865,0.3434364,0.3966035,0.3514218,0.3060845,0.3345256
cg00030047,0.7131399,0.35638,0.4419004,0.4304385,0.3359674,0.5533308,0.4394162,0.4101652,0.4535497,0.3293639,0.3463409
cg00031162,0.6158007,0.6751569,0.7526754,0.7939668,0.6883741,0.7501202,0.8199198,0.7609043,0.8621118,0.7867065,0.698276
cg00032227,0,0.002174996,0.01752706,0.02271918,0.003704957,0,0.01589419,0.0120279,0.007190223,0.01351384,0.009271218
cg00032666,0.5471952,0.4546701,0.6316733,0.6413661,0.789668,0.7735291,0.6777882,0.6159943,0.7146508,0.6337144,0.5817022
cg00033516,0.02138122,0.02592877,0.05170865,0.05700177,0.02551788,0.03205141,0.02841745,0.03942114,0.03671077,0.05862985,0.05480693
cg00033773,0.9022506,0.8668633,0.8986077,0.9066443,0.9146211,0.9139793,0.910054,0.9110475,0.9206785,0.8701468,0.8915815
cg00034039,0.02247136,0.02405944,0.03910194,0.03134763,0.03501551,0.02857134,0.04757617,0.04695248,0.04584345,0.04261406,0.04169597
cg00035347,0.5090797,0.3402889,0.5047253,0.4508415,0.4999168,0.5449008,0.5750913,0.528766,0.5931569,0.4553153,0.5054252
cg00035623,0.1630764,0.1374269,0.1074552,0.1412133,0.1276271,0.1303896,0.2338561,0.2169982,0.1824251,0.1545198,0.2043684
cg00037763,0.860214,0.793228,0.7988114,0.840373,0.7885035,0.7887829,0.867853,0.8755901,0.860517,0.8219911,0.7857559
cg00037940,0.7980608,0.6758972,0.6851636,0.7679531,0.8097582,0.7148566,0.7983923,0.8218493,0.7844113,0.7364635,0.7887348
cg00040861,0.02367777,0,0.004265032,0,0,0,0,0.004156765,0.001356678,0,0
cg00040873,0.4781019,0.160649,0.3754371,0.2786053,0.4757679,0.3676002,0.2941058,0.2384751,0.3025073,0.1323423,0.202652
cg00041575,0.7105702,0.7811068,0.7915236,0.7584403,0.7951348,0.7429626,0.7883545,0.7527905,0.7891845,0.7054729,0.7679477
cg00042156,0.8232561,0.7084395,0.7022291,0.7790942,0.5547417,0.703557,0.8243553,0.7219966,0.8190758,0.6997374,0.7045079
cg00043004,0.1906138,0.1095909,0.1640311,0.214727,0.0404168,0.1176811,0.1355281,0.157589,0.2010592,0.04070277,0.06546856
cg00043080,0.8346905,0.7415974,0.881448,0.8707228,0.8887471,0.8967729,0.8914832,0.9073816,0.8893639,0.8464646,0.8880599
cg00044245,0.01070467,0.04740687,0.02320081,0.02346035,0.01619267,0.02240613,0.01816649,0.02426734,0.02423954,0.01341021,0.01279776
cg00044729,0.6265144,0.5424776,0.6624133,0.6364824,0.7374632,0.6868892,0.7046592,0.6653644,0.6961215,0.5662408,0.6465904
cg00047050,0.0281088,0,0.01629518,0.05507403,0,0,0.03633089,0.04193994,0.04880966,0.01762149,0.006120482
cg00047469,0.002458976,0.0117594,0.0170272,0.01674149,0.01684795,0.004590843,0.02153622,0.02743015,0.02200905,0.0278475,0.02661046
cg00049986,0.1882682,0.2026262,0.1447668,0.1707158,0.09677956,0.09684005,0.1076544,0.0759367,0.05044183,0.159138,0.1470206
cg00050312,0.01805648,0.002337158,0.01755406,0.005603928,0.005680162,0.01164742,0.02824593,0.02268102,0.02924952,0.02494937,0.0152997
cg00051623,0.6542294,0.6083817,0.7609549,0.6888068,0.8622893,0.7787006,0.8422225,0.9021642,0.873486,0.7090991,0.667543
cg00051979,0.05944216,0.03990135,0.02829682,0.04445022,0.01112246,0,0.004202864,0.01433984,0.01409294,0.009857347,0.006931642
cg00053292,0,0.002324925,0.01005324,0.004775844,0.002216,0,0,0.004744376,0.003396443,0.008163081,0
cg00053647,0.1886377,0.02982571,0.05478116,0.05608552,0.03821379,0.05491152,0.1100841,0.1008827,0.09698158,0.0472866,0.05844256
cg00054706,0,0.02783513,0,0.02759549,0,0,0,0.003440317,0.002992066,0,0
