,biomarkers,EGSM1031158,EGSM1031159,EGSM1031160,EGSM1031161,EGSM1031162,EGSM1031167,IPS-GSM1031146,IPS-GSM1031147,IPS-GSM1031148,IPS-GSM1031176,IPS-GSM1031177
0,cg00000292,0.8569926,0.728104,0.8062375,0.7674335,0.814742,0.8432926,0.8458213,0.7829116999999999,0.8265421999999999,0.7678154,0.7481656999999999
1,cg00002426,0.04991212,0.07953646,0.01132741,0.09945071,0.006441018000000001,0.07942524,0.04624676,0.04023669,0.05225949,0.03422219,0.01313283
2,cg00003994,0.02384524,0.05668608,0.005159603,0.02022472,0.04556363,0.0,0.008026234,0.01063033,0.00837382,0.02006848,0.01454091
3,cg00005847,0.5047207,0.15178229999999998,0.10120989999999999,0.1737928,0.091169,0.0701047,0.06546064,0.05218105,0.07853489,0.0623194,0.03736429
4,cg00006414,0.0,0.01548266,0.0,0.0,0.005150193,0.0,0.0,0.0,0.0,0.0,0.0
5,cg00007981,0.03016666,0.05540806,0.06302709,0.05522463,0.04229169,0.03910072,0.01710229,0.01456368,0.01819747,0.01929644,0.01218943
6,cg00008493,0.9756359,0.9409163,0.9514359,0.9584036,0.9697528,0.9507561,0.9650915999999999,0.9747294,0.9691468000000001,0.9679700000000001,0.9780306000000001
7,cg00008713,0.006376885,0.008274796,0.01321925,0.002830052,0.0024171789999999998,0.007562375,0.0194646,0.02282972,0.03417255,0.01816569,0.03093905
8,cg00009407,0.005679563,0.0031173000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,cg00010193,0.6686849,0.6302983,0.6626016,0.6657605999999999,0.6595435000000001,0.6575437,0.547171,0.5655635999999999,0.5885781,0.5290031,0.5472676
10,cg00011459,0.6452973000000001,0.8352736999999999,0.7846411999999999,0.7812989,0.8825831000000001,0.806461,0.9063962,0.9405298000000001,0.9395711999999999,0.8999971,0.8573117
11,cg00012199,0.0,0.01174803,0.004176302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,cg00012386,0.026659,0.04486769,0.0320933,0.03342595,0.02364942,0.01697583,0.03190263,0.03168796,0.03491002,0.03346878,0.01893431
13,cg00012792,0.02071467,0.03524939,0.03694395,0.02723012,0.02198811,0.03046283,0.02481769,0.025631400000000002,0.0241342,0.03910005,0.01705166
14,cg00013618,0.9068651,0.7910571999999999,0.8393754999999999,0.8093428,0.8068770000000001,0.8363628000000001,0.8513741,0.8648623,0.8197367,0.7459836999999999,0.7944654000000001
15,cg00014085,0.02724561,0.03057801,0.05063033,0.05514487,0.02376123,0.04217627,0.07489007,0.06044549,0.07552119,0.01598951,0.00683887
